refshort,reference,country,climate,continent,sphere_fragment,sphere_matrix,biome,taxa,time_since_fragmentation,matrix_category,latitudeN,longitudeE,sampling_design,sampling_method,method_category,sampling_device_size,device_size_unit,intensity,intensity_unit,block_type,number_of_blocks_per_site,sampling_density,density_unit,sampling_duration,duration_unit,sampling_effort,sampling_effort_unit,sampling_note
Bolger_1997,"Bolger, D.T. et al., 1997. Response of rodents to habitat fragmentation in caostal southern California. Ecological Applications, 7(2), pp.552-563.",USA,Temperate,North America,terrestrial,terrestrial,shrubland/steppe,Mammalia,Intermediate (20-100 years),harsh filter,32.79673,-117.188241,pooled,trap,live traps,NA,NA,parallel traplines per fragment,NA,traplines,NA,NA,NA,2 to 5,surveys per site,274,Sherman trap nights,"Live trapping of small mammals in Californian canyons considered as fragments. Each canyon had been sampled two to five times depending on its size. The number of traplines and their length depended on the size and shape of each canyon. Traplines were set latitudinally, from an edge to the other. Traplines were set 100 m apart from each other and Sherman traps were set 2 m apart. October 86 to May 87."
Bolger_1997,"Bolger, D.T. et al., 1997. Response of rodents to habitat fragmentation in caostal southern California. Ecological Applications, 7(2), pp.552-563.",USA,Temperate,North America,terrestrial,terrestrial,shrubland/steppe,Mammalia,Intermediate (20-100 years),harsh filter,32.79673,-117.188241,pooled,trap,live traps,NA,NA,parallel traplines per fragment,NA,traplines,NA,NA,NA,2 to 5,surveys per site,325,Sherman trap nights,"Live trapping of small mammals in Californian canyons considered as fragments. Each canyon had been sampled two to five times depending on its size. The number of traplines and their length depended on the size and shape of each canyon. Traplines were set latitudinally, from an edge to the other. Traplines were set 100 m apart from each other and Sherman traps were set 2 m apart. October 86 to May 87."
Bolger_1997,"Bolger, D.T. et al., 1997. Response of rodents to habitat fragmentation in caostal southern California. Ecological Applications, 7(2), pp.552-563.",USA,Temperate,North America,terrestrial,terrestrial,shrubland/steppe,Mammalia,Intermediate (20-100 years),harsh filter,32.79673,-117.188241,pooled,trap,live traps,NA,NA,parallel traplines per fragment,NA,traplines,NA,NA,NA,2 to 5,surveys per site,245,Sherman trap nights,"Live trapping of small mammals in Californian canyons considered as fragments. Each canyon had been sampled two to five times depending on its size. The number of traplines and their length depended on the size and shape of each canyon. Traplines were set latitudinally, from an edge to the other. Traplines were set 100 m apart from each other and Sherman traps were set 2 m apart. October 86 to May 87."
Bolger_1997,"Bolger, D.T. et al., 1997. Response of rodents to habitat fragmentation in caostal southern California. Ecological Applications, 7(2), pp.552-563.",USA,Temperate,North America,terrestrial,terrestrial,shrubland/steppe,Mammalia,Intermediate (20-100 years),harsh filter,32.79673,-117.188241,pooled,trap,live traps,NA,NA,parallel traplines per fragment,NA,traplines,NA,NA,NA,2 to 5,surveys per site,575,Sherman trap nights,"Live trapping of small mammals in Californian canyons considered as fragments. Each canyon had been sampled two to five times depending on its size. The number of traplines and their length depended on the size and shape of each canyon. Traplines were set latitudinally, from an edge to the other. Traplines were set 100 m apart from each other and Sherman traps were set 2 m apart. October 86 to May 87."
Bolger_1997,"Bolger, D.T. et al., 1997. Response of rodents to habitat fragmentation in caostal southern California. Ecological Applications, 7(2), pp.552-563.",USA,Temperate,North America,terrestrial,terrestrial,shrubland/steppe,Mammalia,Intermediate (20-100 years),harsh filter,32.79673,-117.188241,pooled,trap,live traps,NA,NA,parallel traplines per fragment,NA,traplines,NA,NA,NA,2 to 5,surveys per site,330,Sherman trap nights,"Live trapping of small mammals in Californian canyons considered as fragments. Each canyon had been sampled two to five times depending on its size. The number of traplines and their length depended on the size and shape of each canyon. Traplines were set latitudinally, from an edge to the other. Traplines were set 100 m apart from each other and Sherman traps were set 2 m apart. October 86 to May 87."
Bolger_1997,"Bolger, D.T. et al., 1997. Response of rodents to habitat fragmentation in caostal southern California. Ecological Applications, 7(2), pp.552-563.",USA,Temperate,North America,terrestrial,terrestrial,shrubland/steppe,Mammalia,Intermediate (20-100 years),harsh filter,32.79673,-117.188241,pooled,trap,live traps,NA,NA,parallel traplines per fragment,NA,traplines,NA,NA,NA,2 to 5,surveys per site,499,Sherman trap nights,"Live trapping of small mammals in Californian canyons considered as fragments. Each canyon had been sampled two to five times depending on its size. The number of traplines and their length depended on the size and shape of each canyon. Traplines were set latitudinally, from an edge to the other. Traplines were set 100 m apart from each other and Sherman traps were set 2 m apart. October 86 to May 87."
Bolger_1997,"Bolger, D.T. et al., 1997. Response of rodents to habitat fragmentation in caostal southern California. Ecological Applications, 7(2), pp.552-563.",USA,Temperate,North America,terrestrial,terrestrial,shrubland/steppe,Mammalia,Intermediate (20-100 years),harsh filter,32.79673,-117.188241,pooled,trap,live traps,NA,NA,parallel traplines per fragment,NA,traplines,NA,NA,NA,2 to 5,surveys per site,293,Sherman trap nights,"Live trapping of small mammals in Californian canyons considered as fragments. Each canyon had been sampled two to five times depending on its size. The number of traplines and their length depended on the size and shape of each canyon. Traplines were set latitudinally, from an edge to the other. Traplines were set 100 m apart from each other and Sherman traps were set 2 m apart. October 86 to May 87."
Bolger_1997,"Bolger, D.T. et al., 1997. Response of rodents to habitat fragmentation in caostal southern California. Ecological Applications, 7(2), pp.552-563.",USA,Temperate,North America,terrestrial,terrestrial,shrubland/steppe,Mammalia,Intermediate (20-100 years),harsh filter,32.79673,-117.188241,pooled,trap,live traps,NA,NA,parallel traplines per fragment,NA,traplines,NA,NA,NA,2 to 5,surveys per site,341,Sherman trap nights,"Live trapping of small mammals in Californian canyons considered as fragments. Each canyon had been sampled two to five times depending on its size. The number of traplines and their length depended on the size and shape of each canyon. Traplines were set latitudinally, from an edge to the other. Traplines were set 100 m apart from each other and Sherman traps were set 2 m apart. October 86 to May 87."
Bolger_1997,"Bolger, D.T. et al., 1997. Response of rodents to habitat fragmentation in caostal southern California. Ecological Applications, 7(2), pp.552-563.",USA,Temperate,North America,terrestrial,terrestrial,shrubland/steppe,Mammalia,Intermediate (20-100 years),harsh filter,32.79673,-117.188241,pooled,trap,live traps,NA,NA,parallel traplines per fragment,NA,traplines,NA,NA,NA,2 to 5,surveys per site,616,Sherman trap nights,"Live trapping of small mammals in Californian canyons considered as fragments. Each canyon had been sampled two to five times depending on its size. The number of traplines and their length depended on the size and shape of each canyon. Traplines were set latitudinally, from an edge to the other. Traplines were set 100 m apart from each other and Sherman traps were set 2 m apart. October 86 to May 87."
Bolger_1997,"Bolger, D.T. et al., 1997. Response of rodents to habitat fragmentation in caostal southern California. Ecological Applications, 7(2), pp.552-563.",USA,Temperate,North America,terrestrial,terrestrial,shrubland/steppe,Mammalia,Intermediate (20-100 years),harsh filter,32.79673,-117.188241,pooled,trap,live traps,NA,NA,parallel traplines per fragment,NA,traplines,NA,NA,NA,2 to 5,surveys per site,570,Sherman trap nights,"Live trapping of small mammals in Californian canyons considered as fragments. Each canyon had been sampled two to five times depending on its size. The number of traplines and their length depended on the size and shape of each canyon. Traplines were set latitudinally, from an edge to the other. Traplines were set 100 m apart from each other and Sherman traps were set 2 m apart. October 86 to May 87."
Bolger_1997,"Bolger, D.T. et al., 1997. Response of rodents to habitat fragmentation in caostal southern California. Ecological Applications, 7(2), pp.552-563.",USA,Temperate,North America,terrestrial,terrestrial,shrubland/steppe,Mammalia,Intermediate (20-100 years),harsh filter,32.79673,-117.188241,pooled,trap,live traps,NA,NA,parallel traplines per fragment,NA,traplines,NA,NA,NA,2 to 5,surveys per site,175,Sherman trap nights,"Live trapping of small mammals in Californian canyons considered as fragments. Each canyon had been sampled two to five times depending on its size. The number of traplines and their length depended on the size and shape of each canyon. Traplines were set latitudinally, from an edge to the other. Traplines were set 100 m apart from each other and Sherman traps were set 2 m apart. October 86 to May 87."
Bolger_1997,"Bolger, D.T. et al., 1997. Response of rodents to habitat fragmentation in caostal southern California. Ecological Applications, 7(2), pp.552-563.",USA,Temperate,North America,terrestrial,terrestrial,shrubland/steppe,Mammalia,Intermediate (20-100 years),harsh filter,32.79673,-117.188241,pooled,trap,live traps,NA,NA,parallel traplines per fragment,NA,traplines,NA,NA,NA,2 to 5,surveys per site,374,Sherman trap nights,"Live trapping of small mammals in Californian canyons considered as fragments. Each canyon had been sampled two to five times depending on its size. The number of traplines and their length depended on the size and shape of each canyon. Traplines were set latitudinally, from an edge to the other. Traplines were set 100 m apart from each other and Sherman traps were set 2 m apart. October 86 to May 87."
Bolger_1997,"Bolger, D.T. et al., 1997. Response of rodents to habitat fragmentation in caostal southern California. Ecological Applications, 7(2), pp.552-563.",USA,Temperate,North America,terrestrial,terrestrial,shrubland/steppe,Mammalia,Intermediate (20-100 years),harsh filter,32.79673,-117.188241,pooled,trap,live traps,NA,NA,parallel traplines per fragment,NA,traplines,NA,NA,NA,2 to 5,surveys per site,249,Sherman trap nights,"Live trapping of small mammals in Californian canyons considered as fragments. Each canyon had been sampled two to five times depending on its size. The number of traplines and their length depended on the size and shape of each canyon. Traplines were set latitudinally, from an edge to the other. Traplines were set 100 m apart from each other and Sherman traps were set 2 m apart. October 86 to May 87."
Bolger_1997,"Bolger, D.T. et al., 1997. Response of rodents to habitat fragmentation in caostal southern California. Ecological Applications, 7(2), pp.552-563.",USA,Temperate,North America,terrestrial,terrestrial,shrubland/steppe,Mammalia,Intermediate (20-100 years),harsh filter,32.79673,-117.188241,pooled,trap,live traps,NA,NA,parallel traplines per fragment,NA,traplines,NA,NA,NA,2 to 5,surveys per site,260,Sherman trap nights,"Live trapping of small mammals in Californian canyons considered as fragments. Each canyon had been sampled two to five times depending on its size. The number of traplines and their length depended on the size and shape of each canyon. Traplines were set latitudinally, from an edge to the other. Traplines were set 100 m apart from each other and Sherman traps were set 2 m apart. October 86 to May 87."
Bolger_1997,"Bolger, D.T. et al., 1997. Response of rodents to habitat fragmentation in caostal southern California. Ecological Applications, 7(2), pp.552-563.",USA,Temperate,North America,terrestrial,terrestrial,shrubland/steppe,Mammalia,Intermediate (20-100 years),harsh filter,32.79673,-117.188241,pooled,trap,live traps,NA,NA,parallel traplines per fragment,NA,traplines,NA,NA,NA,2 to 5,surveys per site,399,Sherman trap nights,"Live trapping of small mammals in Californian canyons considered as fragments. Each canyon had been sampled two to five times depending on its size. The number of traplines and their length depended on the size and shape of each canyon. Traplines were set latitudinally, from an edge to the other. Traplines were set 100 m apart from each other and Sherman traps were set 2 m apart. October 86 to May 87."
Bossart_2006,"Bossart, J.L. et al., 2006. Richness, abundance, and complementarity of fruit-feeding butterfly species in relict sacred forests and forest reserves of Ghana. Biodiversity and Conservation, 15(1), pp.333-359.",Ghana,Tropical,Africa,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),harsh filter,6.602618,-1.544099,pooled,trap,fruit-baited traps,NA,NA,4 to 5,traps per area,area,1 to 3,50 to 200,m apart,24,hours trapping per survey,330,trap days,Fruit bait traps.
Bossart_2006,"Bossart, J.L. et al., 2006. Richness, abundance, and complementarity of fruit-feeding butterfly species in relict sacred forests and forest reserves of Ghana. Biodiversity and Conservation, 15(1), pp.333-359.",Ghana,Tropical,Africa,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),harsh filter,6.602618,-1.544099,pooled,trap,fruit-baited traps,NA,NA,4 to 5,traps per area,area,1 to 3,50 to 200,m apart,24,hours trapping per survey,285,trap days,Fruit bait traps.
Bossart_2006,"Bossart, J.L. et al., 2006. Richness, abundance, and complementarity of fruit-feeding butterfly species in relict sacred forests and forest reserves of Ghana. Biodiversity and Conservation, 15(1), pp.333-359.",Ghana,Tropical,Africa,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),harsh filter,6.602618,-1.544099,pooled,trap,fruit-baited traps,NA,NA,4 to 5,traps per area,area,1 to 3,50 to 200,m apart,24,hours trapping per survey,95,trap days,Fruit bait traps.
Bossart_2006,"Bossart, J.L. et al., 2006. Richness, abundance, and complementarity of fruit-feeding butterfly species in relict sacred forests and forest reserves of Ghana. Biodiversity and Conservation, 15(1), pp.333-359.",Ghana,Tropical,Africa,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),harsh filter,6.602618,-1.544099,pooled,trap,fruit-baited traps,NA,NA,4 to 5,traps per area,area,1 to 3,50 to 200,m apart,24,hours trapping per survey,160,trap days,Fruit bait traps.
Bossart_2006,"Bossart, J.L. et al., 2006. Richness, abundance, and complementarity of fruit-feeding butterfly species in relict sacred forests and forest reserves of Ghana. Biodiversity and Conservation, 15(1), pp.333-359.",Ghana,Tropical,Africa,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),harsh filter,6.602618,-1.544099,pooled,trap,fruit-baited traps,NA,NA,4 to 5,traps per area,area,1 to 3,50 to 200,m apart,24,hours trapping per survey,180,trap days,Fruit bait traps.
Bossart_2006,"Bossart, J.L. et al., 2006. Richness, abundance, and complementarity of fruit-feeding butterfly species in relict sacred forests and forest reserves of Ghana. Biodiversity and Conservation, 15(1), pp.333-359.",Ghana,Tropical,Africa,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),harsh filter,6.602618,-1.544099,pooled,trap,fruit-baited traps,NA,NA,4 to 5,traps per area,area,1 to 3,50 to 200,m apart,24,hours trapping per survey,144,trap days,Fruit bait traps.
Bossart_2016,"Bossart, J.L. and Antwi J.B., 2016. Limited erosion of genetic and species diversity from small forest patches: Sacred forest groves in an Afrotropical biodiversity hotspot have high conservation value for butterflies. Biological Conservation, 198, pp.122-134.",Ghana,Tropical,Africa,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),intermediate,6.602618,-1.544099,pooled,trap,fruit-baited traps,NA,NA,3 to 4,traps per transect,transect,2 to 4,80,m apart,13 to 18,days of trapping per trap,154,trap days,Fruit bait traps.
Bossart_2016,"Bossart, J.L. and Antwi J.B., 2016. Limited erosion of genetic and species diversity from small forest patches: Sacred forest groves in an Afrotropical biodiversity hotspot have high conservation value for butterflies. Biological Conservation, 198, pp.122-134.",Ghana,Tropical,Africa,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),intermediate,6.602618,-1.544099,pooled,trap,fruit-baited traps,NA,NA,3 to 4,traps per transect,transect,2 to 4,80,m apart,13 to 18,days of trapping per trap,224,trap days,Fruit bait traps.
Bossart_2016,"Bossart, J.L. and Antwi J.B., 2016. Limited erosion of genetic and species diversity from small forest patches: Sacred forest groves in an Afrotropical biodiversity hotspot have high conservation value for butterflies. Biological Conservation, 198, pp.122-134.",Ghana,Tropical,Africa,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),intermediate,6.602618,-1.544099,pooled,trap,fruit-baited traps,NA,NA,3 to 4,traps per transect,transect,2 to 4,80,m apart,13 to 18,days of trapping per trap,128,trap days,Fruit bait traps.
Bossart_2016,"Bossart, J.L. and Antwi J.B., 2016. Limited erosion of genetic and species diversity from small forest patches: Sacred forest groves in an Afrotropical biodiversity hotspot have high conservation value for butterflies. Biological Conservation, 198, pp.122-134.",Ghana,Tropical,Africa,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),intermediate,6.602618,-1.544099,pooled,trap,fruit-baited traps,NA,NA,3 to 4,traps per transect,transect,2 to 4,80,m apart,13 to 18,days of trapping per trap,112,trap days,Fruit bait traps.
Bossart_2016,"Bossart, J.L. and Antwi J.B., 2016. Limited erosion of genetic and species diversity from small forest patches: Sacred forest groves in an Afrotropical biodiversity hotspot have high conservation value for butterflies. Biological Conservation, 198, pp.122-134.",Ghana,Tropical,Africa,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),intermediate,6.602618,-1.544099,pooled,trap,fruit-baited traps,NA,NA,3 to 4,traps per transect,transect,2 to 4,80,m apart,13 to 18,days of trapping per trap,91,trap days,Fruit bait traps.
Bossart_2016,"Bossart, J.L. and Antwi J.B., 2016. Limited erosion of genetic and species diversity from small forest patches: Sacred forest groves in an Afrotropical biodiversity hotspot have high conservation value for butterflies. Biological Conservation, 198, pp.122-134.",Ghana,Tropical,Africa,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),intermediate,6.602618,-1.544099,pooled,trap,fruit-baited traps,NA,NA,3 to 4,traps per transect,transect,2 to 4,80,m apart,13 to 18,days of trapping per trap,168,trap days,Fruit bait traps.
Bossart_2016,"Bossart, J.L. and Antwi J.B., 2016. Limited erosion of genetic and species diversity from small forest patches: Sacred forest groves in an Afrotropical biodiversity hotspot have high conservation value for butterflies. Biological Conservation, 198, pp.122-134.",Ghana,Tropical,Africa,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),intermediate,6.602618,-1.544099,pooled,trap,fruit-baited traps,NA,NA,3 to 4,traps per transect,transect,2 to 4,80,m apart,13 to 18,days of trapping per trap,288,trap days,Fruit bait traps.
Bragagnolo_2007,"Bragagnolo, C. et al., 2007. Harvestmen in an Atlantic forest fragmented landscape: Evaluating assemblage response to habitat quality and quantity. Biological Conservation, 139(3-4), pp.389-400.",Brazil,Tropical,South America,terrestrial,terrestrial,forest,Arachnida,Intermediate (20-100 years),intermediate,-23.633333,-46.883333,standardized_subsamples,manual sampling,hand capture,NA,NA,30,m long 10 m wide transect,NA,NA,12,transects per site per survey,2,surveys,1,balanced,Twelve 30 * 10 m transects in each site.
Brosi_2008,"Brosi, B.J., Daily, G.C., Shih, T.M., Oviedo, F. and Durán, G., 2008. The effects of forest fragmentation on bee communities in tropical countryside.  Journal of Applied Ecology,  45(3), pp.773-783.",Costa Rica,Tropical,North America,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),intermediate,8.783333,-82.95,standardized_fragment,net,entomological net,NA,NA,15,minutes searching per observer per 20 m * 20 m quadrats,NA,NA,13,survey per year,1,year,1,balanced,"Each site visited 6 times in wet season 2004, and 7 times in dry season 2005.  At each site, 20 * 20 m quadrat just outside of fragment sampled for 15 min."
Brosi_2009,"Brosi, B.J., 2009. The effects of forest fragmentation on euglossine bee communities (Hymenoptera: Apidae: Euglossini).  Biological Conservation,  142(2), pp.414-423.",Costa Rica,Tropical,North America,terrestrial,terrestrial,forest,Insecta,Intermediate (20-100 years),intermediate,8.783333,-82.95,standardized_fragment,trap,scented traps,NA,NA,3,hours trapping per site per survey,NA,NA,6,survey per season,1,wet season,1,balanced,2 chemical compounds in Van Someren traps.
Cabrera-Guzman_2012,"Cabrera-Guzmán, E. & Reynoso, V.H., 2012. Amphibian and reptile communities of rainforest fragments: Minimum patch size to support high richness and abundance. Biodiversity and Conservation, 21(12), pp.3243-3265.",Mexico,Tropical,North America,terrestrial,terrestrial,forest,Amphibia & Squamata,Intermediate (20-100 years),harsh filter,18.58384,-95.090116,standardized_subsamples,visual search,transect,NA,NA,10,hours visual encounter survey per observer per site per day,NA,NA,2,observers,12,days,1,balanced,240 person.hours per site.  Searching along randomly placed transects within each site.  20 ha portion of forest sampled in continuous.
Cadotte_2002_a,"Cadotte M.W., Franck R., Reza L., & Lovett-Doust J., 2002. Tree and shrub diversity and abundance in fragmented littoral forest of southeastern Madagascar. Biodiversity and Conservation, 11, pp.1417-1436. ",Republic of Madagascar,Tropical,Africa,terrestrial,terrestrial,forest,Plantae,Intermediate (20-100 years),harsh filter,-24.782877,47.150197,standardized_fragment,visual search,plot,NA,NA,2500,m2 plots,NA,NA,5,plots per fragment,NA,NA,1,balanced,50 * 50 m plots of trees with DBH > 10cm.  Each fragment had 5 such plots.  
Cadotte_2002_b,"Cadotte M.W., Franck R., Reza L., & Lovett-Doust J., 2002. Tree and shrub diversity and abundance in fragmented littoral forest of southeastern Madagascar. Biodiversity and Conservation, 11, pp.1417-1436. ",Republic of Madagascar,Tropical,Africa,terrestrial,terrestrial,forest,Plantae,Intermediate (20-100 years),harsh filter,-24.782877,47.150197,standardized_fragment,visual search,plot,NA,NA,12,plots per transect,transect,5,100,m2 plots,NA,NA,1,balanced,Twenty 10 * 10 m plots sampled along transects in each of 3 fragments.  All woody plants less than 1 m sampled.
Carneiro_2016,"Carneiro M. S., Campos C.C., Ramos F.N., & Dos Santos F.A., 2016. Spatial species turnover maintains high diversities in a tree assemblage of a fragmented tropical landscape. Ecography, 7, e01500",Brazil,Tropical,South America,terrestrial,terrestrial,forest,Plantae,Intermediate (20-100 years),intermediate,-21.429167,-45.947222,standardized_fragment,visual search,plot,NA,NA,200,m2 plots,NA,NA,10,plots per fragment,NA,NA,1,balanced,Ten 10 * 20 m plots randomly sampled from each fragment.  
Cayuela_2006,"Cayuela, L., Golicher, D. J., Benayas, J.M.R, González-Espinosa, M. & Ramírez-Marcial, N., 2006. Fragmentation, disturbance and tree diversity conservation in tropical montane forests. Journal of Applied Ecology, 43(6), pp.1172-1181.",Mexico,Tropical,North America,terrestrial,terrestrial,forest,Plantae,Intermediate (20-100 years),intermediate,17.097673,-93.002523,pooled,visual search,plot,NA,NA,1000,m2 plots,NA,NA,NA,NA,NA,NA,11,number of circular plots per fragment,Trees greater than 10 cm DBH were counted in 1000 m2 circular plots.
Cayuela_2006,"Cayuela, L., Golicher, D. J., Benayas, J.M.R, González-Espinosa, M. & Ramírez-Marcial, N., 2006. Fragmentation, disturbance and tree diversity conservation in tropical montane forests. Journal of Applied Ecology, 43(6), pp.1172-1181.",Mexico,Tropical,North America,terrestrial,terrestrial,forest,Plantae,Intermediate (20-100 years),intermediate,17.097673,-93.002523,pooled,visual search,plot,NA,NA,1000,m2 plots,NA,NA,NA,NA,NA,NA,18,number of circular plots per fragment,Trees greater than 10 cm DBH were counted in 1000 m2 circular plots.
Cayuela_2006,"Cayuela, L., Golicher, D. J., Benayas, J.M.R, González-Espinosa, M. & Ramírez-Marcial, N., 2006. Fragmentation, disturbance and tree diversity conservation in tropical montane forests. Journal of Applied Ecology, 43(6), pp.1172-1181.",Mexico,Tropical,North America,terrestrial,terrestrial,forest,Plantae,Intermediate (20-100 years),intermediate,17.097673,-93.002523,pooled,visual search,plot,NA,NA,1000,m2 plots,NA,NA,NA,NA,NA,NA,10,number of circular plots per fragment,Trees greater than 10 cm DBH were counted in 1000 m2 circular plots.
Cayuela_2006,"Cayuela, L., Golicher, D. J., Benayas, J.M.R, González-Espinosa, M. & Ramírez-Marcial, N., 2006. Fragmentation, disturbance and tree diversity conservation in tropical montane forests. Journal of Applied Ecology, 43(6), pp.1172-1181.",Mexico,Tropical,North America,terrestrial,terrestrial,forest,Plantae,Intermediate (20-100 years),intermediate,17.097673,-93.002523,pooled,visual search,plot,NA,NA,1000,m2 plots,NA,NA,NA,NA,NA,NA,20,number of circular plots per fragment,Trees greater than 10 cm DBH were counted in 1000 m2 circular plots.
Cayuela_2006,"Cayuela, L., Golicher, D. J., Benayas, J.M.R, González-Espinosa, M. & Ramírez-Marcial, N., 2006. Fragmentation, disturbance and tree diversity conservation in tropical montane forests. Journal of Applied Ecology, 43(6), pp.1172-1181.",Mexico,Tropical,North America,terrestrial,terrestrial,forest,Plantae,Intermediate (20-100 years),intermediate,17.097673,-93.002523,pooled,visual search,plot,NA,NA,1000,m2 plots,NA,NA,NA,NA,NA,NA,9,number of circular plots per fragment,Trees greater than 10 cm DBH were counted in 1000 m2 circular plots.
Cayuela_2006,"Cayuela, L., Golicher, D. J., Benayas, J.M.R, González-Espinosa, M. & Ramírez-Marcial, N., 2006. Fragmentation, disturbance and tree diversity conservation in tropical montane forests. Journal of Applied Ecology, 43(6), pp.1172-1181.",Mexico,Tropical,North America,terrestrial,terrestrial,forest,Plantae,Intermediate (20-100 years),intermediate,17.097673,-93.002523,pooled,visual search,plot,NA,NA,1000,m2 plots,NA,NA,NA,NA,NA,NA,26,number of circular plots per fragment,Trees greater than 10 cm DBH were counted in 1000 m2 circular plots.
Cayuela_2006,"Cayuela, L., Golicher, D. J., Benayas, J.M.R, González-Espinosa, M. & Ramírez-Marcial, N., 2006. Fragmentation, disturbance and tree diversity conservation in tropical montane forests. Journal of Applied Ecology, 43(6), pp.1172-1181.",Mexico,Tropical,North America,terrestrial,terrestrial,forest,Plantae,Intermediate (20-100 years),intermediate,17.097673,-93.002523,pooled,visual search,plot,NA,NA,1000,m2 plots,NA,NA,NA,NA,NA,NA,15,number of circular plots per fragment,Trees greater than 10 cm DBH were counted in 1000 m2 circular plots.
Cayuela_2006,"Cayuela, L., Golicher, D. J., Benayas, J.M.R, González-Espinosa, M. & Ramírez-Marcial, N., 2006. Fragmentation, disturbance and tree diversity conservation in tropical montane forests. Journal of Applied Ecology, 43(6), pp.1172-1181.",Mexico,Tropical,North America,terrestrial,terrestrial,forest,Plantae,Intermediate (20-100 years),intermediate,17.097673,-93.002523,pooled,visual search,plot,NA,NA,1000,m2 plots,NA,NA,NA,NA,NA,NA,5,number of circular plots per fragment,Trees greater than 10 cm DBH were counted in 1000 m2 circular plots.
Cayuela_2006,"Cayuela, L., Golicher, D. J., Benayas, J.M.R, González-Espinosa, M. & Ramírez-Marcial, N., 2006. Fragmentation, disturbance and tree diversity conservation in tropical montane forests. Journal of Applied Ecology, 43(6), pp.1172-1181.",Mexico,Tropical,North America,terrestrial,terrestrial,forest,Plantae,Intermediate (20-100 years),intermediate,17.097673,-93.002523,pooled,visual search,plot,NA,NA,1000,m2 plots,NA,NA,NA,NA,NA,NA,7,number of circular plots per fragment,Trees greater than 10 cm DBH were counted in 1000 m2 circular plots.
Chiarello_1999,"Chiarello, A. G., 1999. Effects of fragmentation of the Atlantic forest on mammal communities in south-eastern Brazil. Biological Conservation, 89(1), pp.71-82.",Brazil,Tropical,South America,terrestrial,terrestrial,forest,Mammalia,long (100+ years),intermediate,-19.12957,-39.933412,pooled,visual search,transect,NA,NA,1500 to 2000,m long transects,NA,NA,NA,NA,ca. 30,surveys per site,87.9,total length of transect in km for each fragment,Visual transects walked during the day and night.
Chiarello_1999,"Chiarello, A. G., 1999. Effects of fragmentation of the Atlantic forest on mammal communities in south-eastern Brazil. Biological Conservation, 89(1), pp.71-82.",Brazil,Tropical,South America,terrestrial,terrestrial,forest,Mammalia,long (100+ years),intermediate,-19.12957,-39.933412,pooled,visual search,transect,NA,NA,1500 to 2000,m long transects,NA,NA,NA,NA,ca. 30,surveys per site,85.3,total length of transect in km for each fragment,Visual transects walked during the day and night.
Chiarello_1999,"Chiarello, A. G., 1999. Effects of fragmentation of the Atlantic forest on mammal communities in south-eastern Brazil. Biological Conservation, 89(1), pp.71-82.",Brazil,Tropical,South America,terrestrial,terrestrial,forest,Mammalia,long (100+ years),intermediate,-19.12957,-39.933412,pooled,visual search,transect,NA,NA,1500 to 2000,m long transects,NA,NA,NA,NA,ca. 30,surveys per site,80.1,total length of transect in km for each fragment,Visual transects walked during the day and night.
Chiarello_1999,"Chiarello, A. G., 1999. Effects of fragmentation of the Atlantic forest on mammal communities in south-eastern Brazil. Biological Conservation, 89(1), pp.71-82.",Brazil,Tropical,South America,terrestrial,terrestrial,forest,Mammalia,long (100+ years),intermediate,-19.12957,-39.933412,pooled,visual search,transect,NA,NA,1500 to 2000,m long transects,NA,NA,NA,NA,ca. 30,surveys per site,59,total length of transect in km for each fragment,Visual transects walked during the day and night.
Chiarello_1999,"Chiarello, A. G., 1999. Effects of fragmentation of the Atlantic forest on mammal communities in south-eastern Brazil. Biological Conservation, 89(1), pp.71-82.",Brazil,Tropical,South America,terrestrial,terrestrial,forest,Mammalia,long (100+ years),intermediate,-19.12957,-39.933412,pooled,visual search,transect,NA,NA,1500 to 2000,m long transects,NA,NA,NA,NA,ca. 30,surveys per site,83.6,total length of transect in km for each fragment,Visual transects walked during the day and night.
Chiarello_1999,"Chiarello, A. G., 1999. Effects of fragmentation of the Atlantic forest on mammal communities in south-eastern Brazil. Biological Conservation, 89(1), pp.71-82.",Brazil,Tropical,South America,terrestrial,terrestrial,forest,Mammalia,long (100+ years),intermediate,-19.12957,-39.933412,pooled,visual search,transect,NA,NA,1500 to 2000,m long transects,NA,NA,NA,NA,ca. 30,surveys per site,62.9,total length of transect in km for each fragment,Visual transects walked during the day and night.
